protocol,source_port,length,tcp_flags,dst_port,delta_time,info,label
20,51608.0,74,0,53.0,2.016266,40827,0
0,0.0,60,10,0.0,0.351839,38315,0
0,0.0,42,10,0.0,0.000178,1957,0
4,44954.0,81,10,53.0,1.662753,38134,0
4,44954.0,81,10,53.0,0.00012,37489,0
20,51608.0,74,0,53.0,2.176758,40828,0
4,58874.0,76,10,53.0,1.076298,38100,0
4,58874.0,76,10,53.0,1.022203,38100,0
20,36938.0,74,0,53.0,0.679878,10233,0
4,44954.0,81,10,53.0,0.050303,38134,0
4,44954.0,81,10,53.0,7.9e-05,37489,0
20,36938.0,74,0,53.0,0.979137,40346,0
4,58874.0,76,10,53.0,0.295017,38100,0
24,20000.0,900,10,10000.0,1.15781,2334,0
19,0.0,60,10,0.0,0.025032,36225,0
24,20000.0,900,10,10000.0,0.00315,2334,0
24,20000.0,900,10,10000.0,0.024381,2334,0
20,36938.0,74,0,53.0,0.51086,40347,0
0,0.0,42,10,0.0,0.067813,38321,0
24,20001.0,900,10,10001.0,0.403597,2527,0
24,20000.0,900,10,10000.0,0.0024,2334,0
24,20001.0,723,10,10001.0,0.393396,2502,0
24,20000.0,309,10,10000.0,0.002396,2204,0
4,33895.0,93,10,53.0,1.140407,37908,0
4,33895.0,93,10,53.0,0.00018,38055,0
0,0.0,60,10,0.0,0.236623,38320,0
4,65334.0,83,10,53.0,0.041002,37537,0
4,65334.0,83,10,53.0,1.00305,37537,0
20,36938.0,74,0,53.0,0.868997,40348,0
5,0.0,60,10,0.0,0.437479,36252,0
24,20000.0,494,10,10000.0,0.004955,2247,0
24,20001.0,494,10,10001.0,0.002165,2441,0
24,20001.0,494,10,10001.0,0.005387,2441,0
24,20000.0,435,10,10000.0,0.002094,2236,0
24,20001.0,435,10,10001.0,0.005127,2430,0
24,20000.0,513,10,10000.0,0.002202,2254,0
24,20001.0,513,10,10001.0,0.005241,2450,0
5,0.0,90,10,0.0,0.491303,36252,0
24,20000.0,309,10,10000.0,0.003585,2204,0
4,65334.0,83,10,53.0,0.173182,37537,0
20,43650.0,74,0,53.0,1.669322,18170,0
4,33895.0,93,10,53.0,0.052972,37908,0
4,33895.0,93,10,53.0,8.3e-05,38055,0
20,43650.0,74,0,53.0,0.952828,40576,0
4,54297.0,83,10,53.0,1.342276,38242,0
24,20001.0,984,10,10001.0,0.3814,2542,0
24,20000.0,984,10,10000.0,0.002653,2348,0
19,0.0,60,10,0.0,0.020402,36225,0
24,20001.0,984,10,10001.0,0.054992,2542,0
20,43650.0,74,0,53.0,0.214555,40577,0
4,54297.0,83,10,53.0,0.366603,38242,0
4,59902.0,81,10,53.0,1.671697,37502,0
4,59902.0,81,10,53.0,9.1e-05,37947,0
4,54297.0,83,10,53.0,0.33322,38242,0
20,43650.0,74,0,53.0,1.788168,40578,0
20,32776.0,74,0,53.0,2.82796,7506,0
4,59902.0,81,10,53.0,0.058619,37502,0
4,59902.0,81,10,53.0,0.000168,37947,0
20,32776.0,74,0,53.0,0.953036,40208,0
20,32776.0,74,0,53.0,2.015803,40209,0
24,20001.0,963,10,10001.0,0.199407,2538,0
19,0.0,60,10,0.0,0.039673,36225,0
24,20000.0,788,10,10000.0,0.004047,2316,0
4,36049.0,93,10,53.0,1.795794,37688,0
4,36049.0,93,10,53.0,0.00011,37817,0
20,32776.0,74,0,53.0,2.08902,40210,0
4,53032.0,76,10,53.0,2.413382,37804,0
20,56142.0,74,0,53.0,0.44024,25281,0
4,36049.0,93,10,53.0,0.063023,37688,0
4,36049.0,93,10,53.0,9.8e-05,37817,0
4,53032.0,76,10,53.0,0.513863,37804,0
20,56142.0,74,0,53.0,0.441649,40948,0
4,53032.0,76,10,53.0,0.630365,37804,0
0,0.0,60,10,0.0,0.617391,38322,0
15,137.0,92,10,137.0,0.02866,37077,0
4,51307.0,86,10,53.0,0.0003,38188,0
20,56142.0,74,0,53.0,0.738936,40949,0
15,137.0,92,10,137.0,0.02036,37077,0
24,20001.0,774,10,10001.0,0.086014,2508,0
24,20000.0,900,10,10000.0,0.002539,2334,0
24,20001.0,522,10,10001.0,0.116622,2452,0
4,51307.0,86,10,53.0,0.043548,38188,0
4,53032.0,76,10,53.0,0.335255,37804,0
15,137.0,92,10,137.0,0.186742,37077,0
0,0.0,42,10,0.0,0.265066,38321,0
4,51307.0,86,10,53.0,0.219773,38188,0
24,20001.0,396,10,10001.0,0.469526,2419,0
24,20001.0,438,10,10001.0,0.002257,2431,0
24,20000.0,438,10,10000.0,0.005085,2237,0
24,20000.0,438,10,10000.0,0.002536,2237,0
4,44788.0,81,10,53.0,0.279677,37866,0
4,44788.0,81,10,53.0,0.00012,37611,0
0,0.0,60,10,0.0,0.148346,38320,0
19,0.0,60,10,0.0,0.251091,36225,0
24,20000.0,1068,10,10000.0,0.002866,2162,0
4,51307.0,86,10,53.0,0.850573,38188,0
15,137.0,92,10,137.0,0.713865,37077,0
20,56142.0,74,0,53.0,0.094469,40950,0
4,53032.0,76,10,53.0,0.561256,37804,0
15,137.0,92,10,137.0,0.099048,37077,0
15,137.0,92,10,137.0,0.750147,37077,0
20,49728.0,66,0,21.0,0.841501,22456,0
20,21.0,66,4,49728.0,0.000167,3048,0
20,49728.0,54,2,21.0,0.00014,22450,0
6,21.0,74,6,49728.0,0.002995,37291,0
6,49728.0,68,6,21.0,0.009314,37084,0
20,21.0,60,2,49728.0,0.000114,3045,0
6,21.0,80,6,49728.0,0.0001,37283,0
20,49728.0,54,2,21.0,0.050397,22452,0
20,41602.0,74,0,53.0,0.5641,17438,0
4,44788.0,81,10,53.0,0.059917,37866,0
4,44788.0,81,10,53.0,0.000116,37611,0
4,51307.0,86,10,53.0,0.282269,38188,0
20,41602.0,74,0,53.0,0.68219,40490,0
6,49728.0,66,6,21.0,0.534641,37273,0
20,21.0,60,2,49728.0,0.000165,3046,0
6,21.0,88,6,49728.0,0.000132,37300,0
20,49728.0,54,2,21.0,0.047935,22453,0
20,41602.0,74,0,53.0,1.432969,40491,0
4,42764.0,93,10,53.0,2.023521,37698,0
4,42764.0,93,10,53.0,8.5e-05,37884,0
24,20000.0,620,10,10000.0,0.458673,2282,0
24,20001.0,620,10,10001.0,0.003985,2478,0
24,20000.0,620,10,10000.0,0.005103,2282,0
19,0.0,60,10,0.0,0.78403,36225,0
24,20001.0,788,10,10001.0,0.004369,2510,0
24,20001.0,788,10,10001.0,0.021177,2510,0
20,41602.0,74,0,53.0,0.763209,40492,0
20,45206.0,74,0,53.0,2.905794,19179,0
4,42764.0,93,10,53.0,0.059267,37698,0
4,42764.0,93,10,53.0,0.000111,37884,0
6,49728.0,70,6,21.0,0.674074,37108,0
20,21.0,60,2,49728.0,0.000126,3047,0
6,21.0,77,6,49728.0,0.016346,37299,0
20,49728.0,54,2,21.0,0.042518,22454,0
20,45206.0,74,0,53.0,0.237609,40639,0
20,45206.0,74,0,53.0,2.015741,40640,0
4,40881.0,81,10,53.0,2.017265,38260,0
4,40881.0,81,10,53.0,0.000157,37610,0
20,45206.0,74,0,53.0,2.014943,40641,0
24,20001.0,662,10,10001.0,1.043753,2489,0
24,20001.0,662,10,10001.0,0.002324,2489,0
24,20000.0,662,10,10000.0,0.005288,2291,0
24,20000.0,662,10,10000.0,0.002304,2291,0
24,20001.0,662,10,10001.0,0.005366,2489,0
19,0.0,60,10,0.0,0.346446,36225,0
24,20001.0,435,10,10001.0,0.004518,2430,0
20,59352.0,74,0,53.0,1.519705,26760,0
4,40881.0,81,10,53.0,0.060813,38260,0
4,40881.0,81,10,53.0,0.000187,37610,0
20,59352.0,74,0,53.0,0.945248,41082,0
20,59352.0,74,0,53.0,2.015485,41083,0
6,49728.0,82,6,21.0,1.207919,37264,0
6,21.0,105,6,49728.0,0.000317,37284,0
6,49728.0,73,6,21.0,0.007104,37269,0
6,21.0,78,6,49728.0,0.000168,37303,0
